frame,vis_score,vis_label,n_obj,n_danger,n_caution,n_safe,nearest_m,min_ttc,obj_classes
1,0.767,Good,1,1,0,0,8.36,,vehicle
4,0.767,Good,1,1,0,0,8.36,,vehicle
7,0.767,Good,1,1,0,0,8.36,,vehicle
10,0.767,Good,1,1,0,0,8.36,,vehicle
13,0.767,Good,1,1,0,0,8.36,,vehicle
16,0.767,Good,1,1,0,0,8.36,,vehicle
19,0.767,Good,1,1,0,0,8.36,,vehicle
22,0.767,Good,1,1,0,0,8.36,,vehicle
25,0.767,Good,1,1,0,0,8.36,,vehicle
28,0.767,Good,1,1,0,0,8.36,,vehicle
31,0.767,Good,1,1,0,0,8.36,,vehicle
34,0.767,Good,1,1,0,0,8.36,,vehicle
37,0.767,Good,1,1,0,0,8.36,,vehicle
40,0.767,Good,1,1,0,0,8.36,,vehicle
43,0.767,Good,1,1,0,0,8.36,,vehicle
46,0.817,Good,4,1,1,2,8.28,,vehicle;vehicle;vehicle;vehicle
49,0.819,Good,3,1,1,1,10.95,,vehicle;vehicle;vehicle
52,0.824,Good,2,1,1,0,17.68,,vehicle;vehicle
55,0.825,Good,5,1,3,1,8.44,,vehicle;vehicle;vehicle;pedestrian;vehicle
58,0.825,Good,3,2,1,0,8.44,,vehicle;vehicle;vehicle
61,0.822,Good,6,2,0,4,8.36,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
64,0.816,Good,3,0,1,2,27.86,,vehicle;vehicle;vehicle
67,0.805,Good,5,0,4,1,15.79,,pedestrian;vehicle;vehicle;vehicle;vehicle
70,0.802,Good,4,1,1,2,8.36,,vehicle;pedestrian;vehicle;vehicle
73,0.792,Good,3,0,1,2,15.58,,vehicle;vehicle;vehicle
76,0.781,Good,2,0,0,2,45.97,,vehicle;vehicle
79,0.767,Good,3,0,2,1,8.36,,vehicle;vehicle;vehicle
82,0.768,Good,5,1,3,1,7.07,,vehicle;vehicle;vehicle;vehicle;vehicle
85,0.780,Good,5,1,3,1,8.28,,vehicle;vehicle;vehicle;pedestrian;vehicle
88,0.790,Good,3,1,2,0,8.28,,vehicle;vehicle;vehicle
91,0.789,Good,2,1,1,0,11.08,,vehicle;vehicle
94,0.794,Good,2,1,0,1,14.83,,vehicle;vehicle
97,0.797,Good,3,0,3,0,15.58,,vehicle;vehicle;vehicle
100,0.800,Good,6,0,5,1,29.66,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
103,0.810,Good,4,1,2,1,18.03,,vehicle;vehicle;vehicle;vehicle
106,0.817,Good,5,1,3,1,11.35,,vehicle;vehicle;vehicle;vehicle;vehicle
109,0.823,Good,6,1,2,3,9.78,0.55,vehicle;vehicle;vehicle;pedestrian;vehicle;vehicle
112,0.835,Good,6,2,2,2,10.95,2.29,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
115,0.845,Good,10,0,9,1,10.33,1.60,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
118,0.850,Good,9,0,4,5,14.83,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
121,0.849,Good,10,2,4,4,11.35,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
124,0.847,Good,9,1,3,5,8.93,2.13,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
127,0.837,Good,8,3,3,2,14.37,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
130,0.819,Good,10,0,8,2,18.03,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
133,0.813,Good,9,1,3,5,17.68,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
136,0.811,Good,10,0,4,6,19.16,0.66,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
139,0.812,Good,3,0,1,2,18.39,,vehicle;vehicle;vehicle
142,0.812,Good,7,0,1,6,35.36,,vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian;vehicle
145,0.816,Good,4,0,1,3,21.27,,pedestrian;vehicle;vehicle;vehicle
148,0.818,Good,4,0,1,3,18.95,20.07,pedestrian;vehicle;vehicle;pedestrian
151,0.818,Good,6,0,2,4,25.54,,vehicle;pedestrian;vehicle;pedestrian;vehicle;vehicle
154,0.820,Good,4,0,1,3,35.36,,vehicle;vehicle;vehicle;vehicle
157,0.817,Good,9,0,1,8,29.66,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
160,0.816,Good,7,0,1,6,35.36,1.78,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
163,0.817,Good,6,1,4,1,12.77,1.72,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
166,0.816,Good,6,0,3,3,32.84,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
169,0.809,Good,8,0,3,5,19.16,6.32,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian;vehicle
172,0.809,Good,9,1,4,4,16.13,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
175,0.811,Good,8,1,2,5,14.15,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
178,0.818,Good,6,0,2,4,18.03,0.50,vehicle;vehicle;vehicle;pedestrian;pedestrian;vehicle
181,0.823,Good,3,0,2,1,12.26,,vehicle;pedestrian;vehicle
184,0.819,Good,4,0,3,1,13.33,,vehicle;vehicle;pedestrian;vehicle
187,0.813,Good,1,0,1,0,24.85,,vehicle
190,0.811,Good,6,1,4,1,16.13,1.84,vehicle;vehicle;vehicle;pedestrian;vehicle;vehicle
193,0.807,Good,6,2,4,0,12.43,0.50,vehicle;vehicle;vehicle;pedestrian;vehicle;vehicle
196,0.806,Good,4,0,3,1,13.52,1.84,vehicle;vehicle;vehicle;vehicle
199,0.813,Good,4,0,2,2,28.73,,vehicle;vehicle;vehicle;pedestrian
202,0.811,Good,2,0,0,2,32.84,,vehicle;vehicle
205,0.812,Good,2,0,0,2,45.97,,vehicle;vehicle
208,0.813,Good,4,0,1,3,24.20,1.75,vehicle;vehicle;vehicle;vehicle
211,0.814,Good,1,1,0,0,15.07,,vehicle
214,0.815,Good,5,1,0,4,7.93,,vehicle;vehicle;vehicle;vehicle;vehicle
217,0.814,Good,9,4,3,2,7.54,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian;vehicle;vehicle
220,0.811,Good,9,1,4,4,13.33,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
223,0.810,Good,7,0,1,6,28.73,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
226,0.811,Good,9,0,4,5,19.16,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
229,0.812,Good,9,0,3,6,16.72,,vehicle;vehicle;pedestrian;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
232,0.804,Good,6,0,1,5,25.54,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
235,0.790,Good,6,1,0,5,8.21,0.50,vehicle;pedestrian;vehicle;vehicle;vehicle;vehicle
238,0.780,Good,4,1,0,3,8.14,,vehicle;vehicle;vehicle;vehicle
241,0.760,Good,3,1,0,2,8.28,18.43,vehicle;vehicle;vehicle
244,0.746,Good,3,1,0,2,8.44,18.43,vehicle;vehicle;vehicle
247,0.727,Good,1,0,0,1,35.36,,vehicle
250,0.721,Good,4,0,1,3,32.84,0.50,vehicle;vehicle;vehicle;vehicle
253,0.741,Good,2,1,0,1,8.44,,vehicle;vehicle
256,0.752,Good,3,0,1,2,27.04,,vehicle;vehicle;vehicle
259,0.786,Good,7,0,2,5,23.58,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
262,0.817,Good,6,0,3,3,27.04,0.68,vehicle;vehicle;vehicle;vehicle;pedestrian;vehicle
265,0.844,Good,9,0,3,6,16.13,,vehicle;vehicle;vehicle;vehicle;pedestrian;pedestrian;vehicle;pedestrian;vehicle
268,0.855,Good,7,1,3,3,12.10,4.03,vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian;pedestrian
271,0.867,Good,6,1,4,1,10.45,2.96,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
274,0.864,Good,5,0,3,2,19.16,6.37,vehicle;vehicle;pedestrian;vehicle;vehicle
277,0.860,Good,7,0,3,4,14.47,1.03,vehicle;pedestrian;vehicle;vehicle;vehicle;vehicle;vehicle
280,0.855,Good,3,1,1,1,8.93,0.50,vehicle;vehicle;vehicle
283,0.845,Good,5,1,1,3,13.33,0.50,vehicle;vehicle;vehicle;vehicle;vehicle
286,0.841,Good,1,1,0,0,15.58,0.50,vehicle
289,0.839,Good,6,1,4,1,16.13,0.50,vehicle;vehicle;vehicle;vehicle;pedestrian;vehicle
292,0.841,Good,4,1,2,1,14.83,0.50,vehicle;vehicle;vehicle;vehicle
295,0.850,Good,4,0,1,3,27.04,,vehicle;vehicle;pedestrian;vehicle
298,0.858,Good,6,1,3,2,10.82,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
301,0.863,Good,6,1,1,4,11.08,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
304,0.866,Good,10,1,3,6,11.49,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian;vehicle
307,0.871,Good,7,2,1,4,9.99,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian
310,0.879,Good,10,2,3,5,12.26,0.74,vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian;vehicle;vehicle;vehicle;vehicle
